Date,Close,High,Low,Open,Volume
2024-10-03,225.42,226.56,223.07,224.89,34044200.0
2024-10-04,226.55,227.75,223.88,227.65,37245100.0
2024-10-07,221.45,225.44,221.09,224.25,39505400.0
2024-10-08,225.52,225.73,223.0,224.05,31855700.0
2024-10-09,229.29,229.5,224.58,224.98,33591100.0
2024-10-10,228.79,229.25,226.92,227.53,28183500.0
2024-10-11,227.3,229.16,227.09,229.05,31759200.0
2024-10-14,231.05,231.48,228.35,228.45,39882100.0
2024-10-15,233.59,237.23,232.11,233.35,64751400.0
2024-10-16,231.53,231.86,229.59,231.35,34082200.0
2024-10-17,231.89,233.59,230.27,233.17,32993800.0
2024-10-18,234.74,235.92,233.75,235.92,46431500.0
2024-10-21,236.22,236.59,234.19,234.19,36254500.0
2024-10-22,235.6,235.96,232.34,233.63,38846600.0
2024-10-23,230.51,234.88,227.51,233.82,52287000.0
2024-10-24,230.32,230.57,228.16,229.73,31109500.0
2024-10-25,231.16,232.96,229.32,229.49,38802300.0
2024-10-28,233.14,234.47,232.29,233.06,36087100.0
2024-10-29,233.41,234.07,232.06,232.84,35417200.0
2024-10-30,229.85,233.21,229.3,232.35,47070900.0
2024-10-31,225.66,229.58,225.12,229.09,64370100.0
2024-11-01,222.67,225.1,220.03,220.73,65276700.0
2024-11-04,221.77,222.55,219.47,220.75,44944500.0
2024-11-05,223.2,223.7,220.9,221.56,28111300.0
2024-11-06,222.48,225.82,220.95,222.37,54561100.0
2024-11-07,227.23,227.63,224.32,224.38,42137700.0
2024-11-08,226.96,228.66,226.41,227.17,38328800.0
2024-11-11,224.23,225.7,221.5,225.0,42005600.0
2024-11-12,224.23,225.59,223.36,224.55,40398300.0
2024-11-13,225.12,226.65,222.76,224.01,48566200.0
2024-11-14,228.22,228.87,225.0,225.02,44923900.0
2024-11-15,225.0,226.92,224.27,226.4,47923700.0
2024-11-18,228.02,229.74,225.17,225.25,44686000.0
2024-11-19,228.28,230.16,226.66,226.98,36211800.0
2024-11-20,229.0,229.93,225.89,228.06,35169600.0
2024-11-21,228.52,230.16,225.71,228.88,42108300.0
